imdbid,movielabs,deluxe,bomid,bomtitle,wwrelease,inreg
tt0848228,The Avengers,The Avengers,avengers11,Marvel's The Avengers,4/25/12,1
tt1399103,Transformers: Dark of the Moon,Transformers: Dark of the Moon,transformers3,Transformers: Dark of the Moon,6/28/11,1
tt1392170,The Hunger Games,The Hunger Games,hungergames,The Hunger Games,3/21/12,1
tt1409024,Men in Black 3,Men In Black III,mib3,MIB 3,5/23/12,1
tt0948470,The Amazing Spider-Man,The Amazing Spider-Man,spiderman4,The Amazing Spider-Man,6/28/12,1
tt1596343,Fast Five,Fast Five,fastfive,Fast Five,4/20/11,0
tt0401729,John Carter,John Carter,johncarterofmars,John Carter,3/7/12,1
tt1440129,Battleship,Battleship,battleship,Battleship,4/11/12,1
tt0800369,Thor,Thor,thor,Thor,4/21/11,0
tt1515091,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game Of Shadows,sherlockholmes2,Sherlock Holmes: A Game of Shadows,12/14/11,1
tt1637725,Ted,Ted,ted,Ted,6/29/12,1
tt1345836,The Dark Knight Rises,The Dark Knight Rises,batman3,The Dark Knight Rises,7/19/12,1
tt1764651,The Expendables 2,The Expendables 2,expendables2,The Expendables 2,8/15/12,1
tt1229238,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,mi4,Mission: Impossible - Ghost Protocol,12/14/11,1
tt1074638,Skyfall,Skyfall,bond23,Skyfall,10/26/12,1
tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,piratesofthecaribbean4,Pirates of the Caribbean: On Stranger Tides,5/16/11,1
tt1446714,Prometheus,Prometheus,prometheus,Prometheus,6/1/12,1
tt0433035,Real Steel,Real Steel,realsteel,Real Steel,10/6/11,1
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Breaking Dawn - Part 1,breakingdawn,The Twilight Saga: Breaking Dawn Part 1,11/16/11,1
tt1646987,Wrath of the Titans,Wrath of the Titans,clashofthetitans2,Wrath of the Titans,3/28/12,1
tt1667889,Ice Age: Continental Drift,Ice Age: Continental Drift,iceage4,Ice Age: Continental Drift,6/27/12,1
tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,captainamerica,Captain America: The First Avenger,7/22/11,1
tt1735898,Snow White and the Huntsman,Snow White and the Huntsman,snowwhiteandthehuntsman,Snow White and the Huntsman,5/30/12,1
tt1637688,In Time,In Time,now,In Time,10/26/11,1
tt1411697,The Hangover Part II,The Hangover Part II,hangover2,The Hangover Part II,5/25/11,1
tt1302011,Kung Fu Panda 2,Kung Fu Panda 2,kungfupanda2,Kung Fu Panda 2,5/25/11,0
tt1496025,Underworld: Awakening,Underworld: Awakening,underworld4,Underworld Awakening,1/19/12,1
tt1270798,X: First Class,X-Men: First Class,xmenfirstclass,X-Men: First Class,6/1/11,1
tt1277953,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,madagascar3,Madagascar 3: Europe's Most Wanted,6/6/12,1
tt1216475,Cars 2,Cars 2,cars2,Cars 2,6/22/11,0
tt1318514,Rise of the Planet of the Apes,Rise of the Planet of the Apes,riseoftheapes,Rise of the Planet of the Apes,8/3/11,1
